"StedID","Stedtekst","Vandområde","Dato","Prøvetype","Målested, x-koordinat","Medie","Målested, y-koordinat","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
52000025,"GRÆSE Å, V. HØRUP, LINDEBJERG","Havelseå","01.06.2004 12.00.00 +02:00","Enkeltprøve",695430,"Vandløb",6193610,"Total","Ammoniak+ammonium-N"," =",0.2,"mg/l",9999999,NA,3
27000021,"GIBER Å, FULDEN","Giber/Odder åer m.fl.","07.12.1993 12.00.00 +01:00","Enkeltprøve",576122,"Vandløb",6215091,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.092,"mg/l",9999999,NA,2
45000059,"HOLSTENHUUS AFLØB, AFL.F.HOLSTERHUUS GL.DYREHAVE","Odense Å m.fl.","18.11.2004 12.00.00 +01:00","Enkeltprøve",584217,"Vandløb",6107621,"Total","pH"," =",7.5,"pH",9999999,NA,3
45000034,"ARRESKOV SØ, TILLØB 5","Odense Å m.fl.","01.03.2018 12.00.00 +01:00","Enkeltprøve",583663,"Vandløb",6111598,"Total","Glødetab,susp.stof"," =",1,"mg/l",9999999,NA,3
48000010,"SØBORG KANAL, PARKVEJ","Esrum Sø","25.11.1987 12.00.00 +01:00","Enkeltprøve",705342,"Vandløb",6224003,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",5.49,"mg/l",9999999,NA,3
11000010,"HARRING Å, HARRING HEDEGÅRD","Hvidbjergå m.fl.","28.03.1996 12.00.00 +01:00","Enkeltprøve",470703,"Vandløb",6301876,"Total","Ammoniak+ammonium-N"," =",1.0000000474974513,"mg/l",9999999,NA,2
47000033,"LILLEBÆK, FREDSKOVVEJ","Hundstrup Å m.fl.","17.09.1997 12.00.00 +02:00","Enkeltprøve",612863,"Vandløb",6109465,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",3.3,"mg/l",9999999,NA,3
21000752,"HORNDRUP BÆK, SORTHOLMVEJ    - LOOP 3","Gudenåen","26.10.2022 12.00.00 +02:00","Enkeltprøve",553244,"Vandløb",6206689,"Opløst - filtrat fra filtrering","Phosphor, total-P"," =",0.032,"mg/l",0.003,NA,3
26000080,"ÅRHUS Å, MUSEUMSBRO","Århuså","14.01.1992 12.00.00 +01:00","Enkeltprøve",574350,"Vandløb",6224105,"Ej oplyst","Nitrogen,total N"," =",9.41,"mg/l",9999999,NA,3
58000047,"KØGE Å, V. LELLINGE DAMBRUG","Køgeå","26.05.1987 12.00.00 +02:00","Enkeltprøve",696054,"Vandløb",6151362,"Ej oplyst","Phosphor, total-P"," =",0.64,"mg/l",9999999,NA,2
54000002,"FLADMOSE Å, DYSSEGÅRD","Kystområde røsnæs","01.06.2006 12.00.00 +02:00","Enkeltprøve",652359,"Vandløb",6122166,"Total","Ammoniak+ammonium-N"," =",0.014,"mg/l",9999999,NA,3
53000086,"FÆSTNINGSKANALEN, V. HARRESTRUP Å","Harrestrupå","29.10.1996 12.00.00 +01:00","Enkeltprøve",717179,"Vandløb",6179038,"Total","Chlorophyl A"," =",23,"µg/l",9999999,NA,2
47000041,"LILLEBÆK, DRÆN 2  - LOOP4","Hundstrup Å m.fl.","10.04.2002 12.00.00 +02:00","Puljet prøve / tidsproportional",610880,"Vandløb",6110013,"Total","Suspenderede stoffer","<",1,"mg/l",9999999,NA,2
62000015,"MARREBÆKSRENDE, LILLE KØBELEV","Halstedå","01.12.2008 12.00.00 +01:00","Enkeltprøve",637924,"Vandløb",6085664,"Total","Phosphor, total-P"," =",0.224,"mg/l",9999999,NA,3
52000063,"HOVE Å, S. F. GUNDSØGÅRD","Havelseå","25.01.2022 12.00.00 +01:00","Enkeltprøve",696941,"Vandløb",6180177,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.023,"mg/l",0.001,NA,3
37000037,"SKALLEBÆK, TILL. T. HADERSLEV DAM","Hoptrupå m.fl.","23.06.1998 12.00.00 +02:00","Enkeltprøve",528396,"Vandløb",6122305,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.026,"mg/l",9999999,NA,2
47000043,"LILLEBÆK, DRÆN 4 - LOOP4","Hundstrup Å m.fl.","08.02.2006 12.00.00 +01:00","Enkeltprøve",611646,"Vandløb",6110445,"Total","pH"," =",7.32,"pH",9999999,NA,2
50000058,"HESTETANGS Å, KALKVÆRKSBRO","Mølleå","17.06.2020 12.00.00 +02:00","Enkeltprøve",707618,"Vandløb",6190532,"Total","Nitrogen,total N"," =",0.64,"mg/l",9999999,NA,3
46000046,"BRENDE Å, TANDERUP","Brendeå","14.11.1978 12.00.00 +01:00","Enkeltprøve",557383,"Vandløb",6136044,"Total","pH"," =",8.24,"pH",9999999,NA,2
42000371,"Hvirlå Ravsted, Kurgård os vinter okkersø","Vidå","13.06.2005 12.00.00 +02:00","Enkeltprøve",509216,"Vandløb",6096435,"Partikelbundet - fra filteret","Jern"," =",1.54,"mg/l",9999999,NA,2
42000125,"HOSTRUP Å, AFLØB FRA HOSTRUP SØ","Vidå","12.09.2005 12.00.00 +02:00","Enkeltprøve",527460,"Vandløb",6089513,"Total","Phosphor, total-P"," =",0.049,"mg/l",9999999,NA,2
26000098,"LYNGBYGÅRDS Å, LÅSBY RENSNINGSANLÆG","Århuså","22.11.1977 12.00.00 +01:00","Enkeltprøve",550197,"Vandløb",6224699,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",3,"mg/l",9999999,NA,2
46000001,"BRENDE Å, ST 5.3","Brendeå","21.10.1982 12.00.00 +01:00","Enkeltprøve",558685,"Vandløb",6136645,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.26,"mg/l",9999999,NA,3
21000572,"KNUD Å, VÆNGE TILLØB, TILLØB N.VÆNGE SØ","Gudenåen","03.07.2013 12.00.00 +02:00","Enkeltprøve",554371,"Vandløb",6218195,"Total","Glødetab,susp.stof"," =",2.1,"mg/l",9999999,NA,3
21002472,"Lemming Å, Ørevad Bro","Gudenåen","01.03.1988 12.00.00 +01:00","Enkeltprøve",531600,"Vandløb",6231470,"Total","COD, susp.stof "," =",2.8,"mg/l",9999999,NA,2
21000065,"TÅNING Å, FULDBRO MØLLE","Gudenåen","10.10.2002 12.00.00 +02:00","Enkeltprøve",552134,"Vandløb",6209010,"Total","pH"," =",8.2,"pH",9999999,NA,2
22000433,"Højris Å, v/Julsgård","Store Å","03.10.1996 12.00.00 +02:00","Enkeltprøve",507527,"Vandløb",6223820,"Ej oplyst","Nitrat-N"," =",0.1500000071246177,"mg/l",9999999,NA,2
21000591,"SALTEN Å, RYE BRO","Gudenåen","19.02.1974 12.00.00 +01:00","Enkeltprøve",542977,"Vandløb",6212758,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.058,"mg/l",9999999,NA,2
15000047,"VIVE MØLLEBÆK, VIVEBROGÅRD","Mariager m.fl.","13.03.2025 12.00.00 +01:00","Enkeltprøve",563752.999946632,"Vandløb",6284088.003511389,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.068,"mg/l",0.001,0.003,2
23000113,"EGELY DAMBRUG, EGELY DAMBRUG, FØDEKANAL","Egå m.fl","12.11.1991 12.00.00 +01:00","Puljet prøve / tidsproportional",605185,"Vandløb",6236888,"Total","Glødetab,susp.stof"," =",3.1,"mg/l",9999999,NA,2
59000005,"KROGBÆK, V. KROGBÆKSBRO","Stevnså","10.12.1996 12.00.00 +01:00","Enkeltprøve",707296,"Vandløb",6138004,"Ej oplyst","BOD ufortyndet"," =",2.94,"mg/l",9999999,NA,2
38000226,"Hjortvad Å, S for Rådmandsvejle bro","Ribeå","10.02.1982 12.00.00 +01:00","Enkeltprøve",486075,"Vandløb",6132141,"Total","Konduktivitet"," =",32.6,"mS/m",9999999,NA,2
23000087,"HEVRING Å, VADBRO","Egå m.fl","21.11.2006 12.00.00 +01:00","Enkeltprøve",586068,"Vandløb",6264690,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.052,"mg/l",9999999,NA,2
45000004,"ODENSE Å, NØRRE BROBY (ST 35.80)","Odense Å m.fl.","28.09.1998 12.00.00 +02:00","Enkeltprøve",578113,"Vandløb",6123987,"Total","Suspenderede stoffer"," =",3.2,"mg/l",9999999,NA,3
30000313,"Hjemkjær Bæk, NV for Søhuse","Søvig bæk","12.02.1992 12.00.00 +01:00","Enkeltprøve",453392,"Vandløb",6170035,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.05900000280234963,"mg/l",9999999,NA,2
43000072,"Dræn 19 - Marginaljordsareal - tilløb, Dræn 19 - Marginaljordsareal - tilløb","Storå","19.04.2005 12.00.00 +02:00","Enkeltprøve",562539,"Vandløb",6149252,"Total","Nitrogen,total N"," =",9.8,"mg/l",9999999,NA,2
47000001,"HUNDSTRUP Å, ST 6.86","Hundstrup Å m.fl.","21.01.1999 12.00.00 +01:00","Puljet prøve / flowproportional",590429,"Vandløb",6106434,"Total","Suspenderede stoffer"," =",15,"mg/l",9999999,NA,2
57000047,"RINGSTED Å, VRANGSTRUP","Suså","20.06.1995 12.00.00 +02:00","Enkeltprøve",672554,"Vandløb",6143155,"Total","Phosphor, total-P"," =",0.467,"mg/l",9999999,NA,2
21000446,"BORRE Å, MØLLEBRO","Gudenåen","25.01.2017 12.00.00 +01:00","Enkeltprøve",542550,"Vandløb",6240832,"Total","Glødetab,susp.stof"," =",3.1,"mg/l",9999999,NA,3
19000015,"LÅNUM BÆK, BÆKGÅRD","Jordbro/Fiskbæk åer m.fl.","19.06.2008 12.00.00 +02:00","Enkeltprøve",508634.5370813789,"Vandløb",6257400.310204706,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",4.1,"mg/l",9999999,NA,3
46000001,"BRENDE Å, ST 5.3","Brendeå","08.11.2012 12.00.00 +01:00","Enkeltprøve",558685,"Vandløb",6136645,"Total","Phosphor, total-P"," =",0.14,"mg/l",9999999,NA,3
47000041,"LILLEBÆK, DRÆN 2  - LOOP4","Hundstrup Å m.fl.","12.04.2017 12.00.00 +02:00","Enkeltprøve",610880,"Vandløb",6110013,"Total","Nitrogen,total N"," =",16,"mg/l",9999999,NA,3
32000001,"VEJLE Å, HARALDSKÆR","Vejle Å","19.01.2015 12.00.00 +01:00","Enkeltprøve",527546,"Vandløb",6172937,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",2.83,"mg/l",9999999,NA,3
21000681,"SØNDERHOLT BÆK, T.T. RAVNSØ","Gudenåen","26.01.2000 12.00.00 +01:00","Enkeltprøve",552471,"Vandløb",6217538,"Ej oplyst","Nitrogen,total N"," =",2.8,"mg/l",9999999,NA,2
16000070,"VIUM MØLLEÅ, VIUM MØLLE","Hellegård/Vium Mølle åer","09.10.2018 12.00.00 +02:00","Enkeltprøve",496881,"Vandløb",6280484,"Total","Nitrogen,total N"," =",4.2,"mg/l",9999999,NA,3
41000016,"PULVERBÆK, T.T.MJANG DAM, ALS","Flere små vandløb til østk","05.02.2015 12.00.00 +01:00","Enkeltprøve",559623,"Vandløb",6089412,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.1,"mg/l",9999999,NA,3
62000011,"HALSTED Å, PUMPESTATION INDV.","Halstedå","24.05.1993 12.00.00 +02:00","Enkeltprøve",638624,"Vandløb",6076663,"Total","Phosphor, total-P"," =",0.3,"mg/l",9999999,NA,2
7000333,"Stae Bæk, Syd for Nefovej","Lindholmå m.fl.","22.02.2017 12.00.00 +01:00","Enkeltprøve",564348,"Vandløb",6326664,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",1.5,"mg/l",9999999,NA,3
49000082,"PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME","Poel Å","23.10.1997 12.00.00 +02:00","Puljet prøve / tidsproportional",703353,"Vandløb",6209460,"Total","Nitrogen,total N"," =",3.06,"mg/l",9999999,NA,2
49000054,"ARRESØ KANAL, ARRESØDAL SLUSE","Poel Å","20.12.2000 12.00.00 +01:00","Enkeltprøve",689172,"Vandløb",6207567,"Total","pH"," =",8.1,"pH",9999999,NA,3
42000354,"Terkelsbøl å, Ca. 200 meter før udløb i Grøn","Vidå","08.04.1980 12.00.00 +02:00","Enkeltprøve",509437,"Vandløb",6088027,"Opløst - filtrat fra filtrering","Svovl,total"," =",50.735472,"mg/l",9999999,NA,2
27000638,"Sanderbæk, Asbæk, Ved Sander, sydvest for Amhøj","Giber/Odder åer m.fl.","02.07.2020 12.00.00 +02:00","Enkeltprøve",572092,"Vandløb",6205594,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.017,"mg/l",9999999,NA,3
30000013,"LANGSLADE RENDE, V.UDLØB I VESTERHAVET","Søvig bæk","11.02.2000 12.00.00 +01:00","Enkeltprøve",443823,"Vandløb",6161393,"Total","BI5"," =",0.9,"mg/l",9999999,NA,2
49000061,"ÆBELHOLT Å, SØSTERBRO MØLLE","Poel Å","19.09.2017 12.00.00 +02:00","Enkeltprøve",699103,"Vandløb",6204768,"Total","Suspenderede stoffer"," =",5,"mg/l",9999999,NA,3
21000487,"MAUSING MØLLEBÆK, VED ENGBRO","Gudenåen","17.03.1998 12.00.00 +01:00","Enkeltprøve",528989,"Vandløb",6233777,"Total","pH"," =",7.3,"pH",9999999,NA,3
41000016,"PULVERBÆK, T.T.MJANG DAM, ALS","Flere små vandløb til østk","08.12.1994 12.00.00 +01:00","Enkeltprøve",559623,"Vandløb",6089412,"Total","pH"," =",8.1,"pH",9999999,NA,3
42000017,"SLOGSBÆK, T.T. ST.SØGÅRD SØ, C5","Vidå","04.02.2014 12.00.00 +01:00","Enkeltprøve",528496,"Vandløb",6087416,"Total","Phosphor, total-P"," =",0.078,"mg/l",9999999,NA,3
47000037,"STOKKEBÆKKEN, 1.80","Hundstrup Å m.fl.","29.08.1988 12.00.00 +02:00","Enkeltprøve",613751,"Vandløb",6116067,"Total","Tørstof,total"," =",455,"mg/l",9999999,NA,3
42000017,"SLOGSBÆK, T.T. ST.SØGÅRD SØ, C5","Vidå","24.02.1993 12.00.00 +01:00","Enkeltprøve",528496,"Vandløb",6087416,"Total","Jern"," =",0.2,"mg/l",9999999,NA,3
47000659,"Rislebæk (Faaborg), Nedst. Kaleko Mølle","Hundstrup Å m.fl.","16.02.2021 12.00.00 +01:00","Enkeltprøve",580741,"Vandløb",6106585,"Partikelbundet - fra filteret","Suspenderede stoffer"," =",27,"mg/l",1,NA,3
42000364,"Surbæk, Opstrøms Hellevad Mølle ved Kl","Vidå","24.03.1999 12.00.00 +01:00","Enkeltprøve",511530,"Vandløb",6103066,"Partikelbundet - fra filteret","Jern"," =",1.32,"mg/l",9999999,NA,2
10000007,"HALKÆR Å, V. SØSTRUP BRO","Dybvadå m.fl","17.07.1989 12.00.00 +02:00","Enkeltprøve",532910,"Vandløb",6295608,"Total","Nitrogen,total N"," =",5.4,"mg/l",9999999,NA,2
16000123,"DURUP BÆK, 250M OS UDLØB","Hellegård/Vium Mølle åer","03.03.2020 12.00.00 +01:00","Enkeltprøve",497052,"Vandløb",6294675,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.079,"mg/l",9999999,NA,3
38000024,"RIBE Å, V. STAVNAGER BRO","Ribeå","26.04.2006 12.00.00 +02:00","Enkeltprøve",492179,"Vandløb",6130700,"Total","Nitrogen,total N"," =",3.70000017574057,"mg/l",9999999,NA,3
45000043,"LINDVED Å, 1.20","Odense Å m.fl.","10.02.1994 12.00.00 +01:00","Enkeltprøve",592368,"Vandløb",6139233,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.036,"mg/l",9999999,NA,3
28000001,"BYGHOLM Å, KØRUP BRO","Bygholmå","28.06.2007 12.00.00 +02:00","Enkeltprøve",547224,"Vandløb",6192161,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.079,"mg/l",9999999,NA,3
60000035,"LILLE Å, TRANEGÅRD","Fakseå","08.12.2011 12.00.00 +01:00","Enkeltprøve",699089,"Vandløb",6122989,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.053,"mg/l",9999999,NA,3
37000011,"SOLKÆR Å, MØLLEBRO","Hoptrupå m.fl.","26.11.1991 12.00.00 +01:00","Enkeltprøve",538473.743364796,"Vandløb",6146078.193414351,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",7.1,"mg/l",9999999,NA,3
21000472,"LEMMING Å, VED ØREVADBRO","Gudenåen","10.11.1988 12.00.00 +01:00","Enkeltprøve",531596,"Vandløb",6231448,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",2.4,"mg/l",9999999,NA,2
21000692,"SKADEBÆK, OPST. ALMIND SØ","Gudenåen","19.03.1981 12.00.00 +01:00","Enkeltprøve",533611,"Vandløb",6222550,"Ej oplyst","COD, Kemisk iltforbrug"," =",22.4,"mg/l",9999999,NA,2
37000260,"Pamhule bæk, till. A6 (ny st.), fra Pamhule Sø til Had.dam","Hoptrupå m.fl.","09.09.1996 12.00.00 +02:00","Enkeltprøve",526918,"Vandløb",6119932,"Total","Phosphor, total-P"," =",0.12,"mg/l",9999999,NA,2
15000034,"VALSGÅRD BÆK, VED TRENBAKKE","Mariager m.fl.","04.06.2002 12.00.00 +02:00","Enkeltprøve",552302,"Vandløb",6279064,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",7.3,"mg/l",9999999,NA,2
21000089,"GUDENÅ, 500 m os Vorvadsbro","Gudenåen","13.03.1985 12.00.00 +01:00","Enkeltprøve",543469,"Vandløb",6207832,"Ej oplyst","Phosphor, total-P"," =",0.18,"mg/l",9999999,NA,3
31000376,"GRINDSTED ENGSØ, TILLØB, TILLØB TIL GRINDSTED ENGSØ","Vardeå","07.04.2003 12.00.00 +02:00","Enkeltprøve",493863,"Vandløb",6179125,"Total","Phosphor, total-P"," =",0.027000001282431185,"mg/l",9999999,NA,2
47000036,"VEJSTRUP Å, 1.80","Hundstrup Å m.fl.","11.04.2011 12.00.00 +02:00","Enkeltprøve",610380,"Vandløb",6106407,"Total","Suspenderede stoffer"," =",5.1,"mg/l",9999999,NA,3
13000009,"FALDBÆK, V. VILLESTED-OVERLADE","Trend/Lerkenfeld åer m.fl.","10.10.1996 12.00.00 +02:00","Enkeltprøve",518519,"Vandløb",6305182,"Total","BI5"," =",1,"mg/l",9999999,NA,2
27000035,"RÆVS Å, NØLEV ASSEDRUP BRO","Giber/Odder åer m.fl.","10.11.2023 12.00.00 +01:00","Enkeltprøve",574125,"Vandløb",6207131,"Total","Phosphor, total-P"," =",0.22,"mg/l",0.003,NA,2
25000020,"HOLTUM Å, HYGILD","Skjernå","17.10.2022 12.00.00 +02:00","Enkeltprøve",514221,"Vandløb",6206158,"Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",0.12,"mg/l",0.003,NA,3
34000002,"VESTER-NEBEL Å, ELKÆRHOLM","Koldingå","08.01.2019 12.00.00 +01:00","Enkeltprøve",525341,"Vandløb",6156661,"Total","Nitrogen,total N"," =",8,"mg/l",9999999,NA,3
60000037,"VIVEDE MØLLEÅ, RIDEBRO","Fakseå","26.08.1998 12.00.00 +02:00","Enkeltprøve",705098,"Vandløb",6126254,"Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",0.14,"mg/l",9999999,NA,2
45000004,"ODENSE Å, NØRRE BROBY (ST 35.80)","Odense Å m.fl.","02.10.1969 12.00.00 +01:00","Enkeltprøve",578113,"Vandløb",6123987,"Total","Calcium"," =",94,"mg/l",9999999,NA,2
22000050,"RÅSTED LILLE Å, HVOLDAL","Store Å","20.12.1989 12.00.00 +01:00","Enkeltprøve",463218,"Vandløb",6242385,"Ej oplyst","Nitrit+nitrat-N"," =",2.4,"mg/l",9999999,NA,3
60000033,"RØDLERSBÆK, MARKBRO","Fakseå","11.01.1996 12.00.00 +01:00","Enkeltprøve",692293,"Vandløb",6117042,"Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",4.39,"mg/l",9999999,NA,2
3000002,"UGGERBY Å, NS RANSBÆK","Uggerbyå","03.04.2017 12.00.00 +02:00","Enkeltprøve",566331,"Vandløb",6381264,"Total","Alkalinitet,total TA"," =",2.7,"mmol/l",9999999,NA,3
41000016,"PULVERBÆK, T.T.MJANG DAM, ALS","Flere små vandløb til østk","21.12.1995 12.00.00 +01:00","Enkeltprøve",559623,"Vandløb",6089412,"Total","Phosphor, total-P"," =",0.19,"mg/l",9999999,NA,3
35000010,"SNEUM Å, V. NØRÅ BRO","Sneumå","03.08.2022 12.00.00 +02:00","Enkeltprøve",480796,"Vandløb",6150065,"Partikelbundet - fra filteret","Suspenderede stoffer"," =",12,"mg/l",1,NA,3
16000030,"LYBY-GRØNNING GRØFT, HULEBRO","Hellegård/Vium Mølle åer","31.10.2007 12.00.00 +01:00","Enkeltprøve",502633,"Vandløb",6277463,"Total","pH"," =",7.8,"pH",9999999,NA,3
